Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-05-05,784.5830078125,827.4550170898438,784.2369995117188,816.1199951171875,816.1199951171875,3035040000,732.4974975585938,610.6670074462891,445.0072555541992,673.3689880371094,577.64501953125,0,3,1,-1,1,1,2,0.03881751419241519
2018-05-06,816.0880126953125,835.0570068359375,764.8829956054688,792.3109741210938,792.3109741210938,3105570048,736.2984924316406,623.7640075683594,445.7837600708008,673.3689880371094,580.0430297851562,0,3,1,-1,1,1,2,-0.02917343177295273
2018-05-07,793.3389892578125,795.7579956054688,710.177978515625,753.7249755859375,753.7249755859375,4316120064,736.2984924316406,626.2350006103516,442.6017532348633,664.5350036621094,591.8079833984375,0,3,1,-1,1,1,2,-0.04870057312781695
2018-05-08,755.0089721679688,774.2490234375,728.1290283203125,752.8569946289062,752.8569946289062,2920489984,736.2984924316406,658.8580017089844,453.34525299072266,664.5350036621094,618.3289794921875,0,3,1,-1,1,1,2,-0.001151588424354033
2018-05-09,752.9019775390625,759.5289916992188,718.4719848632812,752.2750244140625,752.2750244140625,2877870080,736.2984924316406,661.6679992675781,461.6982421875,638.0899963378906,592.9849853515625,0,3,1,-1,1,1,2,-0.0007730156178340497
2018-05-10,752.5789794921875,766.7479858398438,726.6640014648438,727.2769775390625,727.2769775390625,2748950016,751.2384948730469,667.6535034179688,461.6982421875,630.031982421875,609.302978515625,0,3,1,-1,1,1,2,-0.033229930628722704
2018-05-11,727.0130004882812,736.9769897460938,669.8250122070312,679.5859985351562,679.5859985351562,3290080000,752.4410095214844,667.6535034179688,463.7625045776367,630.031982421875,607.1240234375,0,3,1,-1,1,-1,0,-0.06557471290412842
2018-05-12,679.8770141601562,691.4110107421875,644.0659790039062,686.0479736328125,686.0479736328125,2668480000,739.5614929199219,668.8105010986328,465.29249572753906,630.031982421875,605.18701171875,0,3,1,-1,1,-1,0,0.009508693692314107
2018-05-13,687.1749877929688,741.31201171875,675.3189697265625,733.4959716796875,733.4959716796875,2362500096,739.5614929199219,669.0510101318359,458.4985046386719,630.031982421875,601.0770263671875,0,3,1,-1,1,-1,0,0.06916134129166629
2018-05-14,732.7329711914062,742.1699829101562,695.7919921875,730.5490112304688,730.5490112304688,3005110016,739.5614929199219,679.1595153808594,459.31575775146484,630.031982421875,597.56201171875,0,3,1,-1,1,-1,0,-0.004017691388911504
2018-05-15,731.1430053710938,739.052001953125,700.9949951171875,708.8709716796875,708.8709716796875,2523069952,719.9119873046875,697.6700134277344,478.01348876953125,630.031982421875,526.47900390625,0,3,1,-1,1,1,2,-0.029673627939443503
2018-05-16,708.0869750976562,710.2000122070312,682.541015625,707.0499877929688,707.0499877929688,2476130048,709.1575012207031,706.8034973144531,504.6620101928711,626.9564819335938,533.2839965820312,0,3,1,-1,1,-1,0,-0.002568850974957959
2018-05-17,708.718017578125,718.8330078125,668.833984375,672.656982421875,672.656982421875,2350619904,705.406982421875,714.4630126953125,522.5599975585938,622.0534973144531,496.8429870605469,0,3,1,-1,-1,1,0,-0.04864296155134695
2018-05-18,672.1019897460938,695.031005859375,663.8090209960938,694.3670043945312,694.3670043945312,2305740032,705.406982421875,717.6344909667969,533.4045104980469,620.0914916992188,477.4939880371094,0,3,1,-1,-1,-1,-2,0.032275026558841624
